Estado ,Total ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic
Aguascalientes ,46 ,4 ,3 ,9 ,7 ,9 ,2 ,2 ,4 ,1 ,0 ,0 ,5
Baja California ,905 ,69 ,118 ,115 ,66 ,53 ,60 ,37 ,81 ,83 ,53 ,106 ,64
Baja California Sur ,290 ,1 ,6 ,2 ,11 ,6 ,18 ,27 ,23 ,34 ,80 ,58 ,24
Campeche ,1 065 ,59 ,91 ,103 ,150 ,82 ,148 ,71 ,96 ,17 ,162 ,65 ,21
Coahuila ,61 ,6 ,2 ,6 ,9 ,8 ,4 ,8 ,11 ,2 ,2 ,2 ,1
Colima ,378 ,19 ,49 ,51 ,66 ,20 ,22 ,53 ,31 ,27 ,7 ,11 ,22
Chiapas ,950 ,35 ,38 ,87 ,66 ,68 ,84 ,64 ,99 ,98 ,106 ,105 ,100
Chihuahua ,3 872 ,175 ,221 ,330 ,292 ,307 ,490 ,455 ,420 ,477 ,275 ,242 ,188
Distrito Federal ,1 235 ,80 ,69 ,80 ,106 ,284 ,129 ,78 ,90 ,99 ,75 ,92 ,53
Durango ,508 ,26 ,41 ,45 ,27 ,31 ,42 ,56 ,46 ,51 ,83 ,45 ,15
Guanajuato ,8 024 ,454 ,634 ,830 ,652 ,482 ,743 ,473 ,549 ,421 ,591 ,998 ,1 197
Guerrero ,1 617 ,18 ,20 ,60 ,107 ,98 ,116 ,60 ,80 ,86 ,111 ,812 ,49
Hidalgo ,1 508 ,69 ,101 ,134 ,107 ,121 ,193 ,101 ,152 ,138 ,152 ,183 ,57
Jalisco ,2 705 ,159 ,172 ,270 ,182 ,287 ,333 ,226 ,289 ,246 ,209 ,201 ,131
México ,2 943 ,123 ,240 ,280 ,184 ,253 ,348 ,174 ,333 ,210 ,329 ,280 ,189
Michoacán ,3 801 ,124 ,172 ,489 ,250 ,330 ,531 ,350 ,472 ,326 ,311 ,311 ,135
Morelos ,888 ,18 ,27 ,51 ,26 ,87 ,20 ,122 ,53 ,156 ,176 ,71 ,81
Nayarit ,450 ,32 ,52 ,76 ,39 ,19 ,39 ,23 ,79 ,29 ,24 ,31 ,7
Nuevo León ,1 708 ,135 ,91 ,165 ,201 ,182 ,281 ,146 ,190 ,207 ,59 ,45 ,6
Oaxaca ,868 ,59 ,63 ,98 ,74 ,56 ,98 ,71 ,110 ,73 ,45 ,72 ,49
Puebla ,1 152 ,67 ,59 ,105 ,41 ,82 ,140 ,80 ,123 ,128 ,92 ,132 ,103
Querétaro ,3 727 ,217 ,387 ,506 ,219 ,199 ,194 ,205 ,441 ,370 ,515 ,270 ,204
Quintana Roo ,1 352 ,82 ,155 ,173 ,124 ,109 ,191 ,142 ,95 ,44 ,80 ,56 ,101
San Luis Potosí ,840 ,43 ,41 ,49 ,89 ,83 ,76 ,39 ,158 ,75 ,84 ,50 ,53
Sinaloa ,321 ,22 ,23 ,42 ,16 ,19 ,39 ,23 ,41 ,37 ,35 ,19 ,5
Sonora ,275 ,14 ,24 ,40 ,20 ,16 ,32 ,14 ,30 ,21 ,21 ,35 ,8
Tabasco ,1 820 ,124 ,189 ,189 ,116 ,160 ,205 ,133 ,162 ,161 ,175 ,138 ,68
Tamaulipas ,1 125 ,55 ,155 ,116 ,80 ,88 ,109 ,98 ,81 ,64 ,101 ,122 ,56
Tlaxcala ,462 ,25 ,37 ,69 ,50 ,26 ,60 ,41 ,23 ,34 ,41 ,44 ,12
Veracruz ,1 039 ,28 ,36 ,128 ,85 ,61 ,164 ,102 ,89 ,84 ,103 ,126 ,33
Yucatán ,2 574 ,177 ,186 ,278 ,208 ,210 ,256 ,231 ,246 ,218 ,266 ,186 ,112
Zacatecas ,994 ,34 ,73 ,97 ,90 ,101 ,111 ,72 ,101 ,99 ,84 ,92 ,40
TOTAL GLOBAL ,49 503 ,2 553 ,3 575 ,5 073 ,3 760 ,3 937 ,5 278 ,3 777 ,4 798 ,4 116 ,4 447 ,5 000 ,3 189
